"","county_fips","state_name","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff","trump16","clinton16","otherpres16","romney12","obama12","otherpres12","demsen16","repsen16","othersen16","demhouse16","rephouse16","otherhouse16","demgov16","repgov16","othergov16","repgov14","demgov14","othergov14","total_population","cvap","white_pct","black_pct","hispanic_pct","nonwhite_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_hh_inc","clf_unemploy_pct","lesshs_pct","lesscollege_pct","lesshs_whites_pct","lesscollege_whites_pct","rural_pct","ruralurban_cc","POPULATION","LATITUDE","LONGITUDE"
"1","01001","Alabama","Autauga County",19838,7503,27770,12335,0.714368023046453,0.270183651422398,0.444184371624055,18172,5936,865,17379,6363,190,6331,18220,62,7544,14315,2258,NA,NA,NA,9427,3638,0,55049,40690,75.6834819887736,18.3709059201802,2.57225381024178,24.3165180112264,1.83836218641574,51.1762248178895,40.0370578938764,13.9784555577758,53099,5.59165726292852,12.4170460154665,75.4072286513465,10.0021116351095,74.065601464067,42.0021623206465,2,58805,32.500194,-86.487813
"2","01003","Alabama","Baldwin County",83544,24578,109679,58966,0.761713728243328,0.22409029987509,0.537623428368238,72883,18458,3874,66016,18424,898,19145,74021,248,0,76995,1991,NA,NA,NA,37650,8416,0,199510,151770,83.1787880306752,9.22560272668037,4.36669841110721,16.8212119693248,3.26951030023558,51.1949275725528,35.4744123101599,18.7148513858954,51365,6.28684322938915,9.97241793263116,70.4528889714604,7.84222699350902,68.4056072751992,42.2790991139275,3,231767,30.537396,-87.761478
"3","01005","Alabama","Barbour County",5622,4816,10518,806,0.534512264689104,0.457881726563986,0.0766305381251188,5454,4871,144,5550,5912,47,4777,5436,16,5297,4286,463,NA,NA,NA,3111,3651,0,26614,20375,45.8856241076125,47.8883294506651,4.30976177951454,54.1143758923875,2.85939730968663,46.4980837153378,37.6643871646502,16.5288945667694,33956,12.8247382706475,26.2359275575135,87.1322129765595,19.5797516714422,81.3647458346599,67.7896347015333,6,25223,31.843981,-85.301306
"4","01007","Alabama","Bibb County",7525,1986,9595,5539,0.784262636789995,0.206982803543512,0.577279833246482,6738,1874,207,6132,2202,86,2082,6612,17,1971,6670,15,NA,NA,NA,3525,1368,0,22572,17590,74.7651958178274,21.2121212121212,2.22399432925749,25.2348041821726,1.35123161438951,46.4646464646465,37.3294346978558,14.8856990962254,39776,7.14682672001778,19.3015873015873,88,15.0204900894873,87.4717738563185,68.3526074623609,1,22293,33.032236,-87.136826
"5","01009","Alabama","Blount County",24711,2640,27588,22071,0.895715528490648,0.0956937799043062,0.800021748586342,22859,2156,573,20757,2970,279,2980,22169,48,2390,22367,47,NA,NA,NA,12074,2178,0,57704,42430,87.6577013725218,1.55795092194649,8.72729793428532,12.3422986274782,4.27180091501456,50.4852349923749,37.2400526826563,17.1929155691113,46212,5.95383275261324,19.9685853263073,86.950243210377,16.6433683739656,86.1636099306643,89.9515020411012,1,59134,33.954604,-86.592667
"6","01011","Alabama","Bullock County",1146,3446,4613,-2300,0.248428354649902,0.747019293301539,-0.498590938651637,1140,3530,40,1251,4061,10,3364,1167,6,3517,889,80,NA,NA,NA,747,2440,0,10552,8195,21.683093252464,75.5022744503412,0.123199393479909,78.316906747536,1.51630022744503,45.8017437452616,37.9359363153904,15.1345716451857,29335,13.2585203657523,33.4378835401609,89.744988408564,11.7803837953092,79.1577825159915,51.3743815283123,6,10357,32.115838,-85.702354
"7","01013","Alabama","Butler County",5458,3965,9488,1493,0.575252951096121,0.41789629005059,0.157356661045531,4901,3726,105,5087,4374,35,3663,4840,7,4088,3918,321,NA,NA,NA,3148,2741,0,20280,15425,52.7810650887574,43.5157790927022,1.24753451676529,47.2189349112426,1.39546351084813,53.0473372781065,37.0562130177515,18.1262327416174,34315,9.80482734726874,18.9404258369776,83.9199942648219,14.6041798606713,80.0759974667511,71.2321573495011,6,19051,31.776019,-86.6524
"8","01015","Alabama","Calhoun County",35101,15216,50983,19885,0.688484396759704,0.298452425318243,0.390031971441461,32865,13242,1757,30278,15511,468,14152,32976,69,14000,33175,75,NA,NA,NA,17688,9082,0,115883,88525,72.9977649870991,20.3317138838311,3.43622446778216,27.0022350129009,2.393793740238,51.8980350871137,38.7830829371004,15.9307232294642,41954,11.6818215976554,17.6631367513762,82.3470334727502,16.3995108569918,81.6406120897643,33.6968255574672,3,116441,33.727215,-85.817974
"9","01017","Alabama","Chambers County",8753,6365,15284,2388,0.572690395184507,0.416448573671814,0.156241821512693,7843,5784,273,7626,6871,114,5845,7865,18,5796,7907,16,NA,NA,NA,3635,4587,0,34018,26480,56.7434887412546,40.4785701687342,0.435063789758363,43.2565112587454,0.990652007760597,52.0871303427597,35.8721853136575,18.387324357693,36027,7.489945275928,19.7367317850256,87.515720633856,15.2953512757777,83.8587906326459,49.1480344877978,6,34772,32.85644,-85.25964
"10","01019","Alabama","Cherokee County",10583,1624,12301,8959,0.860336558003414,0.132021786846598,0.728314771156817,8953,1547,233,7506,2132,141,1915,8636,7,1702,8707,12,NA,NA,NA,5007,1868,0,25897,20505,91.8716453643279,4.60671120206974,1.56388770900104,8.12835463567208,0.725952813067151,50.2529250492335,32.7103525504885,20.3228173147469,38925,5.85573104276346,18.7172354766235,86.0383010591634,19.2564073095047,85.7832433053672,85.7362730385933,6,24971,34.180501,-85.629887
